complex,address,lat,long
The Park at Santa Maria,"500 Shadow Lakes Blvd, Ormond Beach, FL 32174",29.28446239,-81.0792385
Haven on Canal,"200 Robert St, New Smyrna Beach, FL 32168",29.01877697,-80.93295645
The Park at Brandywine,"3165 Brandywine Rd, Deland, FL 32720",29.0839247,-81.32517899
The Palms at Daytona,"913 Catherine Ave, Daytona Beach, FL 32117",29.2357028,-81.05422804
New Smyrna Beach Apartments,"501 10th St, New Smyrna Beach, FL 32168",29.00453106,-80.9172093
Country Club,"917 Country Club Park, Deland, FL 32724",29.01280002,-81.28733152
Lakeside Gardens,"1400 Hancock Blvd, Daytona Beach, FL 32114",29.17374768,-81.04157727
Nova 1400,"1400 S Nova Rd, Daytona Beach, FL 32114",29.1777781,-81.03572129
PIERPOINT,"1010 N Swallow Tail Dr, Port Orange, FL 32129",29.12477634,-81.01478383
Coastline Cove,"101 Raceway Pointe Dr, Daytona Beach, FL 32114",29.20325459,-81.06966294
Nordica Landing,"1756 S Clyde Morris Blvd, Daytona Beach, FL 32119",29.16486579,-81.03904266
The Oasis Apartments,"1250 Woodcrest Dr, Daytona Beach, FL 32114",29.16993668,-81.0433566
Springs At Port Orange,"5410 S Williamson Blvd, Port Orange, FL 32128",29.10880687,-81.03727425
Epic Apartments,"1420 New Bellevue Ave, Daytona Beach, FL 32114",29.17591692,-81.04342126
Hawthorne Village,"3900 Yorktowne Blvd, Port Orange, FL 32129",29.11845999,-81.02864611
The Groves,"3780 S Clyde Morris Blvd, Port Orange, FL 32129",29.14350376,-81.03726352
Sanctuary at West Port,"5400 Coraci Blvd, Port Orange, FL 32128",29.11104376,-81.05837763
The Southerly at Orange City,"1211 Southerly Parc Ln, Orange City, FL 32763",28.92382992,-81.28353602
Boulevard,"1757 S Clyde Morris Blvd, Daytona Beach, FL 32119",29.16429781,-81.03820336
Reserve at Orange City,"2500 Junior St, Orange City, FL 32763",28.91883853,-81.29013483
Cascade Apartments,"100-140 Cascade Ter, Daytona Beach, FL 32118",29.15875768,-80.97508152
Palm Cove Apartments,"640 Northern Rd, Daytona Beach, FL 32119",29.17975982,-81.01568985
The Beacon,"2500 SR-44, New Smyrna Beach, FL 32168",29.01320101,-80.97025365
Riverbreeze Apartments,"2110-2140 S Palmetto Ave, Daytona Beach, FL 32119",29.17280707,-81.00081467
Aventine at Daytona Beach,"900 Lpga Blvd, Holly Hill, FL 32117",29.24203689,-81.05718636
The Breakers Apartments,"778 Jimmy Ann Dr, Daytona Beach, FL 32114",29.20882257,-81.06851252
Saxon Trace,"830 Saxon Trace Way, Orange City, FL 32763",28.91685013,-81.29057152
Island Walk,"2600 Island Walk Dr, Deltona, FL 32738",28.9354719,-81.2000247
Marcell Gardens,"580 Reed Canal Rd, Daytona Beach, FL 32119",29.1599466,-81.00153469
Whispering Oaks,"240 Whispering Oaks Ct, Orange City, FL 32763",28.93846082,-81.29705366
Ridge Apartments,"2050 S Ridgewood Ave, Daytona Beach, FL 32119",29.17179534,-81.00494457
12th and Beach,"1229 S Beach St, Daytona Beach, FL 32114",29.19192347,-81.00746866
Sunrise Pointe,"1375 Richel Dr, Port Orange, FL 32129",29.14766357,-81.03646226
San Marco,"1500 San Marco Dr, Ormond Beach, FL 32174",29.24995979,-81.11164397
